Code	Name	Icon	#Type	OPLV	PATK	PATKG	MATK	MATKG	#PEFT	#PEFTG	PEFTC	PEFAT	#PEFST	PEFSV	PEFSVG	#ATKRT	ATKRP1	ATKRP2	THPF	CTM	#EEFT	#EEFTG	EEFTC	EEFAT	#EEFST	EEFSV	EEFSVG
100010001	태극난무	Active_Claw_01	1	1	30	1600	0	0	0	0	0	0	0	0	0	2	1	90	0	0	0	0	0	0	0	0	0
100010002	무한권법	Active_Claw_01	2	1	28	1300	0	0	0	0	0	0	0	0	0	2	1	90	0	20	1	3	0	3	0	0	0
100010003	강철의 피부	Active_Claw_01	2	1	0	0	0	0	14	0	0	5	9	5	5	0	0	0	0	0	0	0	0	0	0	0	0
100010004	체력 강화	Active_Claw_01	3	1	0	0	0	0	13	0	0	0	1	300	10000	0	0	0	0	0	0	0	0	0	0	0	0
100020001	파이어 토네이도	Active_Claw_01	1	1	25	1400	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
100020002	건댄싱	Active_Claw_01	2	1	20	1100	0	0	0	0	0	0	0	0	0	1	3	0	0	20	0	0	0	0	0	0	0
100020003	킬링건	Active_Claw_01	2	1	30	1200	0	0	14	2	0	5	21	5	5	1	3	0	0	20	0	0	0	0	0	0	0
100020004	속사	Active_Claw_01	3	1	0	0	0	0	16	0	0	0	31	5	5	0	0	0	0	0	0	0	0	0	0	0	0
100030001	플라잉드래곤소드	Active_Claw_01	1	1	40	1500	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	3	0	3	0	0	0
100030002	소드윈드	Active_Claw_01	2	1	35	1100	0	0	0	0	0	0	0	0	0	4	0	0	SwordWind	20	0	0	0	0	0	0	0
100030003	필살일격	Active_Claw_01	2	1	35	1100	0	0	14	2	0	5	19	5	5	2	1.5	45	0	20	0	0	0	0	0	0	0
100030004	절대방어	Active_Claw_01	3	1	0	0	0	0	13	0	0	0	9	2	200	0	0	0	0	0	0	0	0	0	0	0	0
100040001	윈드블레이드	Active_Claw_01	1	1	33	1500	0	0	0	0	0	0	0	0	0	4	0	0	DaggerWind	0	0	0	0	0	0	0	0
100040002	아머브레이크	Active_Claw_01	2	1	28	1000	0	0	0	0	0	0	0	0	0	2	1.1	45	0	20	16	3	0	5	9	5	5
100040003	민첩한 공격	Active_Claw_01	2	1	0	0	0	0	14	1	0	5	31	20	20	0	0	0	0	20	0	0	0	0	0	0	0
100040004	치명타 강화	Active_Claw_01	3	1	0	0	0	0	13	0	0	0	13	3	200	0	0	0	0	0	0	0	0	0	0	0	0
100050001	크루얼싸이소닉	Active_Claw_01	1	1	0	0	30	3000	0	0	0	0	0	0	0	4	0	0	ScytheWind	0	0	0	0	0	0	0	0
100050002	앵거싸이스	Active_Claw_01	2	1	0	0	25	2000	0	0	0	0	0	0	0	2	1.8	45	0	20	2	3	0	5	0	0	0
100050003	나이트메어	Active_Claw_01	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	9	1	5	0	0	0
100050004	마력강화	Active_Claw_01	3	1	0	0	20	2000	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
