iCode	sName	sPrefab	sIcon	iType	iClass	iParts	iOp01	iFGrade	iPrice	iHP	iSP	iSTR	iAGI	iINT	iVIT	iPATK	iMATK	iPDEF	iMDEF	iCRI	iACRI	iHPRG	iSPRG	iHPST	iRSPC	iACC	iDG	iSBLK	iWBLK	iPPEN	iIMDEF	iRSTN	iRSLC	iRSLP	iRPTF	iRFRZ	iRCTA	iRAB	iIHEAL	iUSL	iDR	fATKI	iMat01	iMat01C	iMat02	iMat02C	iMat03	iMat03C	iMat04	iMat04C	sInfo	sDropInfo
100000001	용맹의 투구	hero01_head_02	hero01_head_01	2	1	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000002	무용의 투구	hero01_head_02	hero01_head_02	2	1	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000003	고결의 투구	hero01_head_03	hero01_head_03	2	1	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000004	영웅의 투구	hero01_head_04	hero01_head_04	2	1	1	0	1	100	0	0	0	0	0	0	0	0	90	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000005	용맹의 갑옷	hero01_body_01	hero01_body_01	2	1	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000006	무용의 갑옷	hero01_body_02	hero01_body_02	2	1	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000007	고결의 갑옷	hero01_body_03	hero01_body_03	2	1	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000008	영웅의 갑옷	hero01_body_04	hero01_body_04	2	1	3	0	1	100	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000009	용맹의 어깨보호구	hero01_shoulder_01	hero01_shoulder_01	2	1	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
100000010	무용의 어깨갑옷	hero01_shoulder_02	hero01_shoulder_02	2	1	2	0	1	100	0	0	0	0	0	0	0	0	80	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	null	null
